Sr. No.,Today's News,Description,Link,Date,Time
1,"Muzaffarpur rapes: 'Stray incident,' says CM Nitish Kumar","NEW DELHI: Following criticism by opposition parties, Bihar chief minister Nitish Kumar on Sunday said that some people are merely focussing on ""one or two"" negative incidents while referring to the Muzaffarpur shelter home case in which as many as 30 minor girls were sexually abused.


The Bihar chief minister who has been facing flak for his government's alleged inaction against the perpetrators today said that ""guilty will not be spared"".

""You should try to focus on positive feed as well. One or two negative incidents have happened and you are focusing only on it. Whosoever tries to create a mischief will be taken to task. Those who are trying to protect them will also not be spared, they too will be sent to prison,"" Kumar was quoted as saying by the news agency ANI.


Zara positive feed par bhi aap log kripa karke dekh lein. Ek aad negative cheez hogya usi ko lekar chal rahe hain.… https://t.co/DOXBNvRqLB— ANI (@ANI) 1533459683000
An annoyed chief minister slammed the people targeting him and his government over the case. ""If all you want to do is abuse me, then go ahead,"" Kumar added.

Kumar's remark came in the backdrop of a protest against his state government organized by RJD leader and Kumar's arch-rival Tejashwi Yadav in the national capital yesterday.

On Saturday, Yadav, in an apparent show of opposition unity, had organized a protest in Delhi's Jantar Mantar along with Congress chief Rahul Gandhi and leaders from various regional parties.

""Today, as a Bihari, I hang my head in shame. What has happened in this case, shows that it is not 'jungle raj' (misrule) but 'rakchhas raj' (devil's rule) in the state,"" Yadav said.

Besides Rahul, Delhi chief minister Arvind Kejriwal, MPs including Tejashwi's sister Misa Bharti and D Raja, Bihar's former chief minister Jitan Ram Manjhi, CPM general secretary Sitaram Yechury, former MP Sharad Yadav and others also took part in the protest.

Two days ago, the chief minister had expressed anguish over the Muzaffarpur shelter home sex scandal and stressed on the need to develop institutional mechanisms to prevent such incidents from recurring.

 ""We have always said that the guilty would not be spared and deputy chief minister Sushil Kumar Modi has said on the floor of the assembly that we would ourselves like the CBI probe to be monitored by the High Court,"" he had said in his first reaction since the scandal broke last month.

The Muzaffarpur shelter home incident had surfaced in a social audit conducted by Mumbai-based Tata Institute of Social Sciences. An FIR was lodged by the state social welfare department in June, which led to the arrest of 10 people. Medical reports have confirmed sexual abuse of more than 30 girls formerly lodged at the shelter home, which has since been sealed. The case has been handed over to the CBI.

",https://timesofindia.indiatimes.com/india/muzaffarpur-rapes-stray-incident-says-cm-nitish-kumar/articleshow/65279813.cms,5 Aug 2018, 15:33
2,Amarnath yatra suspended from Jammu due to protests in support of Article 35-A,"JAMMU: Amarnath yatra was today suspended from Jammu in view of the two day separatist sponsored strike against the legal challenge in the Supreme Court on the validity of Article 35-A.


There were reports of partial strike and peaceful rallies in support of the Article 35-A from Chenab valley districts of Ramban, Doda and Kishtwar.

Various religious and social organisations have given the two-day strike to ""safeguard"" the constitutional provision.

A police official said the yatra was suspended from here as a precautionary measure in view of the strike called by the Joint Resistance Leadership (JRL). 

A few hundred pilgrims camping in Jammu to join the yatra to the 3,880 metre high holy cave shrine of Amarnath in south Kashmir Himalayas were not allowed from the Bhagwati Nagar base camp this morning, the officials said. 

The separatists and the major political parties including National Conference, Peoples Democratic Party (PDP) CPI(M) and the state unit of Congress have been demanding status quo on the Article 35-A, which bars people from outside Jammu and Kashmir from acquiring any immovable property in the state.

Supreme Court is scheduled to hear a PIL challenging the validity of the Article 35-A tomorrow.

The state government has filed an application before the Registrar of the Supreme Court, informing that it is going to seek adjournment of the hearing of the petition in view of the ""ongoing preparations for the upcoming Panchayat, urban local body and municipal elections in the state"".

Groups of people also staged peaceful rallies at several places including Gool, Sangaldan and Banihal in support of the Article 35A, the officials said, adding local public transport remained off the roads in many areas of the hilly districts. 

",https://timesofindia.indiatimes.com/india/amarnath-yatra-suspended-from-jammu-due-to-protests-in-support-of-article-35-a/articleshow/65279492.cms,5 Aug 2018, 14:52
3,Not averse to projecting Mamata Banerjee as prime ministerial face: HD Deve Gowda,"NEW DELHI: Pitching for a ""formidable front"" against the BJP, former prime minister and JD(S) supremo HD Deve Gowda has said he is not averse to projecting TMC chief and West Bengal Chief Minister Mamata Banerjee as the Opposition's prime ministerial face for the 2019 Lok Sabha polls.


The remark by Gowda, 85, comes against the backdrop of reports that the Congress and other opposition parties favour leaving the issue of a prime ministerial candidate for the post-election phase as they feel that opposition unity could be hurt if the subject is taken up ahead of the polls.

The remark also comes days after top Congress sources indicated that the party will not mind a nominee for the top post from any Opposition alliance which does not have the backing of the Bharatiya Janata Party (BJP) and the Rashtriya Swayamsevak Sangh (RSS).

Gowda, whose party has formed a coalition government in Karnataka with the support of the Congress, said the Congress will play a crucial role in forging opposition unity in the bid by the alliance to dislodge the BJP from power.

In an interview to PTI in Delhi over the weekend, the former prime minister noted while the formation of a third front is still in the ""early stage"" Banerjee is ""trying her best"" to bring all the non-BJP parties together. Gowda headed the Janata Dal-led United Front(UF) coalition government in 1996 but his tenure did not last more than a year.

Banerjee is pursuing the task of the formation of a federal front seriously after the draft National Register of Citizens (NRC) in Assam that excluded 40 lakh people from the list in the eastern state, he said.

Banerjee is a bitter critic of the NRC and has pilloried the BJP over the citizenship issue. She is also seeking the support of other opposition parties to take on the ruling party. The BJP has stoutly defended the Supreme Court-mandated exercise, saying it concerned national security and safety of the country's citizens.

Asked if he would support the TMC chief as the prime ministerial face of the opposition, Gowda said: ""Most welcome if Mamata is projected as PM. Indira Gandhi ruled as prime minister for 17 years. Why should we (men) alone become PM? Why not Mamata or Mayawati?""

Indicating he is not opposed to a woman prime minister, Gowda said he had piloted the women's reservation bill in Parliament way back in 1996.

Noting that the JD(S) has not made any effort to unify regional parties so far, he however said the regional party is prepared to cooperate with other parties to fight the BJP.

""It is because there is a sense of fear in the country. There is a suffocating atmosphere for minorities in states like Uttar Pradesh, Bihar and Gujarat. A formidable front is necessary to take on the BJP in 2019,"" he noted.

Observing that the clamour for a political alternative to BJP will gradually gain momentum, Gowda stressed that the Congress as a national party will also play a crucial role.

""I want to see how things will shape up in the next 2-3 months,"" he added.

Gowda also mentioned that the Congress and his party will fight together in Karnataka during 2019 general polls. However, the issue of seat sharing has not been discussed yet, he said. Karnataka accounts for 28 Lok Sabha seats.

",https://timesofindia.indiatimes.com/india/not-averse-to-projecting-mamata-banerjee-as-prime-ministerial-face-hd-deve-gowda/articleshow/65279065.cms,5 Aug 2018, 13:57
4,Govt should've consulted all parties on NRC: Sharad Yadav,"BHOPAL: The Centre should have consulted all parties to work out a ""unanimous mechanism"" before going ahead with the National Register of Citizens (NRC) exercise in Assam, Loktantrik Janata Dal leader Sharad Yadav has said.


Taking a dig at the Modi government, the former Union minister said it has been unable to ensure the safety of women and girls in the country but talks of cow protection.

The NRC, a list of Assam citizens, was published on July 30 with the names of over 40 lakh residents of the state not being included in it.

""The government should have called an all-party meeting to find out an amicable solution to the problem in Assam. But if you do it just like that, you won't be able to do it by just declaring a cut-off date... you will get tired,"" Yadav told PTI in an interview.

The former Janata Dal (United) chief said he agrees that the issue of Assam has ""reflections on democracy"", but asserted they should have found a ""justifiable solution of the problem and a unanimous mechanism"" for it.

Criticised the BJP, Yadav said, ""This party is not giving ticket to any Muslim. Therefore, we are not ready to believe that it will do justice with them.""

""People have come here from Tibet. Bangladeshis had come and gone to Bangladesh. When Pakistan was created, a large number of people went there and were called 'Mohajirs', and Sikhs too had come here from there,"" he said.

This movement of population took place maximum in India, he claimed.

""No proper debates are taking place in Parliament. Many agitations are going on in the country. If you find on which date a person had come to this country, then it (country) will get destroyed,"" he said.

On the bill tabled in Parliament to overturn the Supreme Court verdict putting safeguards on arrests under the SC/ST (Prevention of Atrocities) Act, Yadav claimed the government has done so ""under pressure"" in view of the bandh call given by all opposition parties.

""Dalits came to my place and strategies for both (bandh) 2nd (April 2) and on ninth (August 9) were formulated. Everyone, including Ambedkarites and others like Sharad Pawar, and other parties supported it,"" he added.

The bill was brought under pressure, otherwise the government could have fallen on the issue, he said.

""The government should have brought it at the time when the Supreme Court had given that judgement of diluting the SC/ST Act,"" he said.

The Supreme Court had in an order on March 20 diluted certain provisions of the Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act.

It had laid down new guidelines for police officers on how to ensure that innocent people, especially public officials, are protected from false complaints under the Act.

Dalit groups had organised protests across the country on April 2 against the ""dilution"" of the Act.

Asked if he would support the candidature of Congress president Rahul Gandhi for the prime minister's post in the next elections, Yadav said the party had itself clarified its position on the issue. Therefore, there is no need for him to make a statement on it.

The Congress said its first objective is to stop the BJP from coming to power in 2019, he noted, adding that saving the Constitution and democracy is a major issue.

""The time is to save the democracy, like in 1977. That was a declared Emergency but this time it is undeclared, in which one cannot predict where things will go wrong,"" he said.

Further criticising the central government, Yadav alleged that it is unable to protect women and girls and ""talks about cow first"".

""They have become a champion of cows,"" he quipped. 

",https://timesofindia.indiatimes.com/india/govt-shouldve-consulted-all-parties-on-nrc-sharad-yadav/articleshow/65278868.cms,5 Aug 2018, 13:29
5,India hands over request to Antigua to extradite Mehul Choksi,"NEW DELHI: India has handed over a request to Antigua for extradition of bank fraud fugitive Mehul Choksi who has obtained citizenship of the Caribbean nation.


Official sources said a team from India was sent to Antigua few days back to pursue the authorities there to extradite Choksi.

""The team met the foreign ministry officials of the island nation yesterday and handed over the request to extradite Choksi to India,"" an official source said.

Choksi is one of the alleged masterminds of the $2 billion scam in state-run Punjab National Bank and is an uncle of fugitive diamantaire Nirav Modi.

He is wanted in India by the CBI and enforcement directorate probing the fraud, the biggest banking scam in the country.

As per reports, Antiguan authorities cleared his citizenship in November 2017 after India did not give any adverse report to stall his application.

Choksi had fled India on January 4 this year and took oath of allegiance in Antigua on January 15.

The CBI had sent its request to the Ministry of External Affairs for extradition of Choksi.

Choksi's application for citizenship in Antigua in May 2017 was accompanied with clearance from the local police as required by norms, Antiguan newspaper the Daily Observer reported, citing a statement from the Citizenship by Investment Unit of Antigua and Barbuda (CIU).

It said the police clearance certificate (PCC) from the Regional Passport Office in Mumbai said that there was no adverse information against Choksi which would render him ineligible for grant of travel facilities including visa for Antigua and Barbuda.

When asked about the PCC to Choksi, a spokesperson for the Ministry of External Affairs had said it was given on the basis of a clear police verification report (PVR) available on his passport.

Under the Citizenship by Investment Program of Antigua and Barbuda, a person can take their passport on a minimum investment of $1,00,000 in the NDF investment fund.

Choksi and his companies allegedly availed of credit from overseas branches of Indian banks using the fraudulent guarantees of PNB given through letters of undertaking (LoUs) and letters of credit issued by the Brady House branch which were not repaid, bringing liability on the state-run bank, the officials have said.

An LoU is a guarantee given by an issuing bank to Indian banks having branches abroad to grant short-term credit to the applicant. 

",https://timesofindia.indiatimes.com/india/india-hands-over-request-to-antigua-to-extradite-mehul-choksi/articleshow/65278712.cms,5 Aug 2018, 14:12
6,"Mamata's 'bloodbath', 'civil war' comment on NRC does not behove of a CM: Sonowal","NEW DELHI: Assam chief minister Sarbananda Sonowal said on Sunday that his West Bengal counterpart Mamata Banerjee's ""inflammatory"" comment on NRC does not behove of a senior politician and asserted that his government was committed to complete the exercise as per the Supreme Court order.


Sonowal, a student-leader-turned politician, said precious time of Parliament were wasted by stalling its proceedings by Banerjee's party, the Trinamool Congress, by spreading ""false propaganda"" and ""wrong information"" on National Register of Citizens (NRC), a list of Assam's citizens.

""Not a single law and order situation has arisen in Assam after the publication of the draft NRC, which was complete fair and transparent. 

""The statements of the West Bengal chief minister were inflammatory and divisive and aimed at her vote bank in her own state. It does not behove of a chief minister,"" he told PTI in a telephonic interview from Guwahati.

Sonowal, 55, was responding to a question on Mamata's comment that the NRC exercise in Assam was done with a ""political motive"" to divide people and it would lead to ""bloodbath"" and a ""civil war"" in the country.

He said rumours have been spread about the NRC in the country as well as abroad but he was thankful to the people of Assam, especially those from the Barak valley and the Bengalis, who did not fall to the prey to the ""evil design"" of the ""outside"" forces which tried to instigate people for ""narrow political gain"".

Sonowal also blasted the Congress for trying to take credit for the publication of draft NRC after initially criticising it.

""The Congress government in the state even failed to complete a pilot project on NRC launched in 2010 due to law and order problems. It was our government which took the initiative under the Supreme Court order and expedited the whole process in the last two years,"" he said.

The chief minister, who first went to the NRC office after taking oath in 2016 even before attending his office, said he was committed to complete the entire NRC update process as per the apex court mandate.

He said, as a chief minister, he will ensure that not a single Indian is left out from the final NRC.

Sonowal also profusely thanked Prime Minister Narendra Modi and Home Minister Rajnath Singh for their wholehearted support to the complex exercise.

Sonowal also dwelt on the Assam's relations with West Bengal saying the two states share harmonious relations since ages and scholars like Ashutosh Mukherjee helped introducing Assamese language in the Calcutta University early 20th century.

He said the people of Assam were guided by the humanitarian and unifying philosophies of singers Bhupen Hazarika and Hemanga Biswas and the former spent his prime time of his career in Kolkata producing some of his immortal creations both in Assamese and Bengali.

Sonowal said even renowned Assamese littérateur Lakshminath Bezbaroa strengthened the intrinsic relations by marrying Noble Laureate Rabindranath Tagore's grand-daughter Pragya Sundari.

""Therefore, being a chief minister of such a state which has its deep-rooted culture and traditions, Mamata Banerjee should not have made such baseless comments which have got communal undertone aimed at disturbing the strong relations between Assam and Bengal,"" he said.

Sonowal also thanked the Registrar General of India and the NRC authorities for carrying out the successful work of the NRC update as per the Supreme Court directive.

The massive Supreme Court-monitored exercise to identify genuine Indian nationals living in Assam excluded over 40 lakh people from the draft list published on July 30, creating a huge political controversy.

",https://timesofindia.indiatimes.com/india/mamatas-bloodbath-civil-war-comment-on-nrc-does-not-behove-of-a-cm-sonowal/articleshow/65278538.cms,5 Aug 2018, 12:57
7,Prez nod to law to deter fugitive economic offenders from fleeing country,"NEW DELHI: President Ram Nath Kovind has given assent to a law that will deter fugitive economic offenders to evade legal process in India and flee the country.


A fugitive economic offender is any individual against whom warrants for arrest is issued for his involvement in select economic offences involving amount of at least Rs 100 crore or more and has left India so as to avoid criminal prosecution.

The Fugitive Economic Offenders Act, 2018 has got the nod from the president, according to an official order.

The new legislation will prevent big economic offenders like Vijay Mallya and Nirav Modi from fleeing the country and evading the law.

Both Mallya and Modi, wanted in cases being probed by the Central Bureau of Investigation (CBI), are out of India.

The new law allows designated special court to declare a person as fugitive economic offender and to confiscate his property, including 'benami' ones.

""All the rights and title in the confiscated property shall, from the date of the confiscation order, vest in the central government, free from all encumbrances,"" the Act says.

The Fugitive Economic Offenders Bill, 2018 was passed by the Rajya Sabha on July 25. The Lok Sabha had cleared the measure on July 19.

Justifying the financial limit of Rs 100 crore for invoking the provisions of this new law, Finance Minister Piyush Goyal had recently said in Parliament that it was being done to ""catch the big offenders and not to clog the courts"".

""This bill is an effective, expeditious and constitutional way to stop these offenders from running away. Legislative changes or a new law must be in place to confiscate assets of such absconders till they don't present themselves in front of the courts. We will also work out what has to be done with the confiscated assets,"" Goyal had said in Rajya Sabha.

The Enforcement Directorate will be the investigative agency under the Act, he had said.

The president has also given nod to other laws-- the Negotiable Instruments (Amendment) Act, 2018, the State Banks (Repeal and Amendment) Act, 2018 and the Specific Relief (Amendment) Act, 2018.

The Negotiable Instruments (Amendment) Act is aimed at allowing a court to try offences related to cheque bounce expeditiously and direct the drawee to pay a minimum of 20 per cent of the cheque amount as interim compensation.

The State Banks (Repeal and Amendment) Act is to repeal two other laws --The State Bank of India (Subsidiary Banks) Act, 1959 and the State Bank of Hyderabad Act, 1956-- and to further amend the State Bank of India Act of 1955.

The Specific Relief (Amendment) Act, 2018 grants a party the right to seek damages from the other side in case of a breach of a business contract and to reduce discretion of courts in such matters.

Bills in these regards were approved by Parliament recently. 

",https://timesofindia.indiatimes.com/india/prez-nod-to-law-to-deter-fugitive-economic-offenders-from-fleeing-country/articleshow/65278588.cms,5 Aug 2018, 12:49
8,"TRAI chief defends pesky calls rules, says has mandate to save customers","NEW DELHI: Amid a disquiet in the industry over new unsolicited commercial communication norms, TRAI has asserted that it operated within its mandate to tighten rules for curbing pesky calls and messages, a menace which goes beyond harassment into the realm of defrauding customers.


Coming out in strong defence of the freshly-minted regulations, outgoing TRAI chairman RS Sharma told PTI that if any of the stakeholders felt that the said rules were illegal or beyond the regulator's mandate, they were free to seek legal remedies.

""We don't think we have exceeded any mandate. If some party feels it is not legal they can approach appropriate legal forum. We are concerned about the menace of pesky calls with regard to consumers. It is not merely about harassment, it goes beyond that...people are being duped financially with financial tips, and both SEBI and RBI had written to us,"" Sharma said.

Stating that the problem of unsolicited calls and messages from telemarketers, required ""everyone's cooperation"", Sharma said that the argument that other markets have not leveraged blockchain-based solutions to address the issue could not be used to say that India should not go for it.

""... it is a win-win situation for every stakeholder in the value chain except those illegal (indulging in illegal activities) or unsolicited commercial communications (UCC) players who are doing it beyond the law. It will help everyone except those who indulge in cheating and harassment,"" Sharma said in a recent interview.

Sharma also cleared the air around what the regulations would mean for TRAI's stand-off with tech titan Apple. In response to a question, Sharma emphasised that the regulations mention that customers must be enabled to report complaints for pesky calls, through various means, not just limited to TRAI's do-not disturb app.

""...application by TRAI, applications by a third party or the operating systems can themselves enable it through an app. We are not prescribing a methodology... be it TRAI or third party app. In any way, you can make provisions for your customers to complain about UCC and provide information ... when you get an (unsolicited telemarketing) call, you should able to share number and time and where the call came from,"" he explained without naming Apple.

On the industry's reservations over the use of blockchain technology for UCC, Sharma said that the regulator had held consultation with technical experts on blockchain and Distributed Ledger Technology (DLT).

""We have had consultation with tech experts who are into blockchain technology. It should be leveraged in delivering solutions, and I think it is a regulatory technology which should be used more often in many other situations, also. As far as argument that no one else is doing it...it is not a case enough to say India should not do it,"" he said.

The industry has raised red flag over TRAI's (Telecom Regulatory Authority of India) new rules on curbing pesky calls and messages, and termed them ""complex"", ""time-consuming"" and without cost-benefit analysis.

The Cellular Operators' Association of India (COAI) said that tailoring of systems, and use of blockchain technology will involve Rs 200-400 crore investment and 18 months for the roll out, at a time when the sector is financially-stressed.

The timeline indicated by the industry body exceed the stipulated December deadline for operationalising the new system architecture.

COAI also rued that other markets had not prescribed such stringent requirements and obligations for operators.

TRAI's new UCC rules allow individuals to revoke permission that they have granted to any commercial entity for a service.

Subscribers can set preference about days and time bands on which they would like to receive commercial communications as well as indicate preferred modes of communication - call or SMS.

The rules lay down obligations for operators including evolving Code of Practices, maintaining records, and registering customer choice, and mandate the adoption of blockchain or the Distributed Ledger Technology. Blockchain provides a decentralised database or digital ledger of transactions that everyone on the network can see.

",https://timesofindia.indiatimes.com/india/trai-chief-defends-pesky-calls-rules-says-has-mandate-to-save-customers/articleshow/65278361.cms,5 Aug 2018, 12:42
9,'Don't think a male child is safer than girls in any way',"A 28-year-old professional opens up about how being sexually abused as a boy impacted his speech, his confidence and altered his personality for life, and why it is important for survivors to speak up.
I am sure it is very difficult for a girl to speak up, but let me tell you, it is as tough or probably tougher if you are a boy. I have felt helpless and alone in my emotional battle against the trauma of sexual abuse as a child. The sense of shame was very intense. I want to tell everyone reading my story that don't think the male child is safer than girls in any way.

I am a 28-year-old working professional and I want to share my story now because I want people to know that it is not your fault if someone has abused you. There is nothing to be ashamed of. I want people to speak up.

I was abused twice as a child. The first time it happened I was in class 7. The predator in my case was one of the boys in my class who stays in my locality in Mumbai. He was much older and physically stronger. He met me one afternoon near my home and forcefully took me to one of the buildings in the vicinity. There was nobody on the road, so I could not seek help. I was scared.

He took me to the top floor of the building and started rubbing his private parts against my buttocks. This continued for 5-10 minutes. Shocked at what was happening, I tried hard to get away, but he overpowered me. Before letting me go he warned me that I should not tell anybody about what had happened.



I returned home in a daze. I was scared and felt dirty. I was also feeling guilty as I questioned myself as to why I could not prevent the abuse. The fear was evident on my face when I returned home that day. My parents noticed the troubled expression on my face and asked me what had happened. I could not speak up out of fear and lied to them that all was well.

All these years later, I now realise, it was not my fault. I tell myself again and again that I tried my best to stop him but he was physically stronger than me.

The abuse changed my life. The trauma impacted my speech and I started to speak very fast after the incident. I changed as a person as I started losing confidence in myself and a deep sense of fear got instilled in me.

This changed the way people perceived me. I became more vulnerable as people would consider me to be timid and thought they could bully me.

I feel it was the timid personality that I acquired after the abuse that resulted in abuse the second time, as boys thought I was a soft target. I was in class 9, and in the middle of a class, when a classmate sitting next to me started abusing me. He would keep our school bags on either side so that nobody could see. He would then touch my private parts and would want me to touch his too. While I never touched him and was able to somehow prevent that, unfortunately, I could not stop him from touching me.

This continued for 3-4 days and each day he would demand something more like he would touch me with my clothes on and gradually he would want me to allow him to touch me directly. 

Traumatised by the whole experience I somehow managed to change my place in class and starting sitting elsewhere. He never touched me again. Although this episode of abuse happened in class, I was unable to raise my voice. Lack of confidence in my ability to defend myself stopped me from speaking up. I thought if I complained my classmate would bully me.

The abuse led to further deterioration in my speech. I developed a stammer. I developed a chronic skin infection. My confidence dropped to an all-time low. I started fearing boys. The problem persists even in adulthood. I don't change clothes in the presence of other boys or men. I don't go to male doctors if I have to undergo a physical examination. I feel more comfortable around girls and women. I have more female friends than male friends. I feel safe in the presence of women.

The fear and apprehension have somewhat reduced over the years but it is still a problem. I am a working professional and have started taking measures to deal with the scars of abuse. I am taking one step at a time. My speech and confidence have improved after I started therapy.

Many times I feel I should have told my parents when I was abused for the first time. They would have reported the matter and the boy who abused me would have been punished. Both boys who abused me live in the same neighbourhood as me.

I want to tell my parents about my plight but I still have to muster the courage to speak to them. Last year, I opened up about the abuse for the first time and spoke to two of my very close female friends. I felt that my male friends will not understand if I spoke to them. However, I could not bring myself to share all the details with my female friends too.

As I speak now, I am reflecting deeply on what happened to me and sharing it here so that others don't suffer like me.

Each time I see the two men who abused me in my locality I feel very angry, but now I have decided to let go. I want to tell people that abuse is not a momentary incident. It is a crime that changes life, so don't ignore it, please speak up.


This story is part of a series in which survivors of sexual violence share their experiences to help others open up and heal their own trauma.

Read other first-person accounts from the series here

Breaking the silence: Speak up against sexual violence24:27

",https://timesofindia.indiatimes.com/india/dont-think-a-male-child-is-safer-than-girls-in-any-way/articleshow/65278232.cms,5 Aug 2018, 13:52
10,Article 35-A: Complete shutdown in Kashmir,"SRINAGAR: Life in Kashmir today came to a standstill due to a complete shutdown called by separatists against the legal challenge in the Supreme Court on the validity of Article 35-A, which bars people from outside Jammu and Kashmir from acquiring any immovable property in the state.

The situation across the valley is peaceful with no untoward incident reported from anywhere so far, officials said.

Shops and business establishments were closed across the Valley while all kinds of transport remained off the roads due to the strike called.

The Joint Resistance Leadership (JRL) has called for a two-day strike -- today and tomorrow -- as Supreme Court is scheduled to hear a PIL challenging the validity of the Article 35-A tomorrow.

The state government has filed an application before the Registrar of the Supreme Court, informing that it is going to seek adjournment of the hearing of the petition in view of the ""ongoing preparations for the upcoming Panchayat and urban local body and municipal elections in the state"".

The officials said security forces have been deployed in strength at vulnerable places in the city and elsewhere in Kashmir for maintaining law and order.

Various organisations included Bar Association, transporters and traders' bodies have extended support to the shutdown call of the JRL, comprising Syed Ali Shah Geelani, Mirwaiz Umar Farooq and Mohammad Yasin Malik.

Protests have been held across the length and breadth of Kashmir over the past few days with mainstream parties like the National Conference and PDP also holding rallies in support of continuing Article 35-A. 

",https://timesofindia.indiatimes.com/india/article-35-a-complete-shutdown-in-kashmir/articleshow/65278209.cms,5 Aug 2018, 12:43
